start,end,phase
0.0,78.337,explore
150.732,202.589,explore
238.002,258.272,explore
296.728,320.186,explore
363.34,374.118,explore
392.652,410.684,explore
432.098,457.762,explore
499.092,522.708,explore
554.255,586.472,explore
626.22,645.522,explore
661.201,727.027,explore
783.901,811.902,explore
78.337,150.732,exploit
202.589,238.002,exploit
258.272,296.728,exploit
320.186,363.34,exploit
374.118,392.652,exploit
410.684,432.098,exploit
457.762,499.092,exploit
522.708,554.255,exploit
586.472,626.22,exploit
645.522,661.201,exploit
732.684,783.901,exploit
811.902,877.651,exploit
